Number,Quarter,StatedMonthlyIncome,LoanOriginalAmount,Employment,SqrtSMI
107,2012-Q3,2958.217,5926.385,Retired,54.38949347
108,2013-Q3,3814.056,6966.667,Retired,61.75804401
109,2007-Q4,2126.959,5033.359,Retired,46.11896573
110,2008-Q4,2564,3655.769,Retired,50.6359556
111,2009-Q4,2897.294,4425,Retired,53.82651763
112,2010-Q4,3186.95,4258.75,Retired,56.45307786
113,2011-Q4,3599.443,5909.375,Retired,59.99535815
114,2012-Q4,2949.515,5136.083,Retired,54.30943749
115,2013-Q4,3217.18,8833.333,Retired,56.72019041
116,2007-Q1,4528.924,9819.857,Self-employed,67.29728078
117,2008-Q1,4281.944,7999.65,Self-employed,65.4365647
118,2010-Q1,4911.303,2902.986,Self-employed,70.08068921
119,2011-Q1,7880.73,6187.08,Self-employed,88.77347577
120,2012-Q1,11510.685,5664.58,Self-employed,107.2878605
121,2013-Q1,9670.798,6035.562,Self-employed,98.34021558
122,2014-Q1,7147.425,11091.566,Self-employed,84.54244496
123,2007-Q2,4698.044,10569.907,Self-employed,68.54227892
124,2008-Q2,3903.646,7242.19,Self-employed,62.47916453
125,2010-Q2,4967.155,3644.436,Self-employed,70.47804623
126,2011-Q2,5300.643,6135.966,Self-employed,72.8055149
127,2012-Q2,6356.741,7039.137,Self-employed,79.72917283
128,2013-Q2,6475.218,6690.53,Self-employed,80.46873927
129,2007-Q3,4243.201,8974.716,Self-employed,65.13985723
130,2008-Q3,5590.188,7325.03,Self-employed,74.76755981
131,2009-Q3,5839.182,2106.944,Self-employed,76.4145405
132,2010-Q3,6445.037,3702.128,Self-employed,80.28098779
133,2011-Q3,5492.098,6137.836,Self-employed,74.10869045
134,2012-Q3,6925.563,7322.698,Self-employed,83.21996756
135,2013-Q3,6531.068,7076.974,Self-employed,80.81502336
136,2007-Q4,3933.78,10206.117,Self-employed,62.71985332
137,2008-Q4,6660.08,8654.326,Self-employed,81.60931319
138,2009-Q4,5451.583,2830.886,Self-employed,73.83483595
139,2010-Q4,5262.14,4036.885,Self-employed,72.54060932
140,2011-Q4,5424.093,6197.157,Self-employed,73.64844194
141,2012-Q4,6419.816,6832.183,Self-employed,80.12375428
142,2013-Q4,6750.652,10133.948,Self-employed,82.16235148
